context,context_act,sys_world_sys_profile,sys_world_usr_profile,usr_world_sys_profile,usr_world_usr_profile,sent,edited_sent,sent_act,different_from_edition,failed_candidates,pick_or_not
"
"
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}",['hello'],['hello'],['non-strategy'],False,False,False
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}",['Hello'],['Hello'],['non-strategy'],False,False,False
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['Hello, how are you doing today?']","['Hello, how are you doing today?']",['greeting-inquiry'],False,False,True
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['Hey there, how are you today?']","['Hey there, how are you today?']",['greeting-inquiry'],False,False,True
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['Hello, how are you doing today?']","['Hello, how are you doing today?']",['greeting-inquiry'],False,False,True
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['Hello, how are you today?']","['Hello, how are you today?']",['greeting-inquiry'],False,False,True
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['Hi!', 'How are you doing today?']","['Hi!', 'How are you doing today?']","['non-strategy', 'greeting-inquiry']",False,False,True
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['Hi, how are you doing today?']","['Hi, how are you doing today?']",['greeting-inquiry'],False,False,True
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['hello!', 'how are you today?']","['hello!', 'how are you today?']","['non-strategy', 'greeting-inquiry']",False,False,True
